云南移动
央视频道,#genre#
河南卫视,http://39.130.202.76:6610/gitv_live/G_HENAN-HQ/G_HENAN-HQ.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8#http://39.130.202.76:6610/gitv_live/G_GANSU/G_GANSU.m3u8
海南卫视,http://39.130.202.76:6610/gitv_live/LYWS/LYWS.m3u8
新疆卫视,http://39.130.202.76:6610/gitv_live/G_XINJIANG/G_XINJIANG.m3u8
厦门卫视,http://223.110.254.137:6610/gitv/live1/G_XIAMEN/G_XIAMEN.m3u8
海峡卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
内蒙古卫视,http://39.130.202.76:6610/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8
宁夏卫视,http://39.130.202.76:6610/gitv_live/G_NINGXIA/G_NINGXIA.m3u8
青海卫视,http://39.130.202.76:6610/gitv_live/G_QINGHAI/G_QINGHAI.m3u8
陕西卫视,http://39.130.202.76:6610/gitv_live/G_SHANXI/G_SHANXI.m3u8
山西卫视,http://39.130.202.76:6610/gitv_live/SXWS/SXWS.m3u8
西藏卫视,http://39.130.202.76:6610/gitv_live/G_XIZANG/G_XIZANG.m3u8
兵团卫视,http://39.130.202.76:6610/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8
三沙卫视,http://39.130.202.76:6610/gitv_live/G_SANSHA/G_SANSHA.m3u8
农林卫视,http://39.130.202.76:6610/gitv_live/G_NONGLIN/G_NONGLIN.m3u8
南方卫视,http://39.130.202.76:6610/gitv_live/G_NANFANG/G_NANFANG.m3u8
康巴卫视,http://39.130.202.76:6610/gitv_live/G_KANGBA/G_KANGBA.m3u8
延边卫视,http://39.130.202.76:6610/gitv_live/G_YANBIAN/G_YANBIAN.m3u8
安多卫视,http://39.130.202.76:6610/gitv_live/G_ANDUO/G_ANDUO.m3u8

云南频道,#genre#
云南卫视,http://39.130.202.76:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南都市,http://39.130.202.76:6610/gitv_live/G_YNTV-2-HD/G_YNTV-2-HD.m3u8
云南娱乐,http://39.130.202.76:6610/gitv_live/G_YNTV-3-HD/G_YNTV-3-HD.m3u8
云南生活,http://39.130.202.76:6610/gitv_live/G_YNTV-4-HD/G_YNTV-4-HD.m3u8
云南影视,http://39.130.202.76:6610/gitv_live/G_YNTV-5-HD/G_YNTV-5-HD.m3u8
云南公共,http://39.130.202.76:6610/gitv_live/G_YNTV-6-HD/G_YNTV-6-HD.m3u8
云南少儿,http://39.130.202.76:6610/gitv_live/G_YNTVSE-HD/G_YNTVSE-HD.m3u8
澜湄国际,http://39.130.202.76:6610/gitv_live/G_YNTVGJ/G_YNTVGJ.m3u8
七彩公交,http://39.130.202.76:6610/gitv_live/G_QICAIGONGJIAO/G_QICAIGONGJIAO.m3u8
昆明新闻,http://39.130.202.76:6610/gitv_live/G_KMTV-1/G_KMTV-1.m3u8
昆明公共,http://39.130.202.76:6610/gitv_live/G_KMTV-6/G_KMTV-6.m3u8
昆明生活,http://39.130.202.76:6610/gitv_live/G_KMTV-2/G_KMTV-2.m3u8
昆明科教,http://39.130.202.76:6610/gitv_live/G_KMTV-3/G_KMTV-3.m3u8
昆明文娱,http://39.130.202.76:6610/gitv_live/G_KMTV-4/G_KMTV-4.m3u8
昆明影视,http://39.130.202.76:6610/gitv_live/G_KMTV-5/G_KMTV-5.m3u8
昆明教育,http://183.224.96.125:9000/TV/0/00000001000000050000000000000169/164.m3u8
红河一套,http://39.130.202.76:6610/gitv_live/G_HONGHETV-1/G_HONGHETV-1.m3u8
红河二套,http://39.130.202.76:6610/gitv_live/G_HONGHETV-2/G_HONGHETV-2.m3u8
金平综合,http://39.130.202.76:6610/gitv_live/G_JINPING/G_JINPING.m3u8
个旧综合,http://39.130.202.76:6610/gitv_live/G_GEJIU/G_GEJIU.m3u8
弥勒综合,http://39.130.202.76:6610/gitv_live/G_MILE/G_MILE.m3u8
蒙自综合,http://39.130.202.76:6610/gitv_live/G_MENGZI/G_MENGZI.m3u8
建水综合,http://39.130.202.76:6610/gitv_live/G_JIANSHUI/G_JIANSHUI.m3u8
河口综合,http://39.130.202.76:6610/gitv_live/G_HEKOU/G_HEKOU.m3u8
绿春综合,http://39.130.202.76:6610/gitv_live/G_LVCHUN/G_LVCHUN.m3u8
屏边综合,http://39.130.202.76:6610/gitv_live/G_PINGBIAN/G_PINGBIAN.m3u8
元阳综合,http://39.130.202.76:6610/gitv_live/G_YUANYANG/G_YUANYANG.m3u8
红河县台,http://39.130.202.76:6610/gitv_live/G_HONGHEXIAN/G_HONGHEXIAN.m3u8
开远综合,http://39.130.202.76:6610/gitv_live/G_KAIYUAN/G_KAIYUAN.m3u8
泸西综合,http://39.130.202.76:6610/gitv_live/G_LUXI/G_LUXI.m3u8
石屏综合,http://39.130.202.76:6610/gitv_live/G_SHIPING/G_SHIPING.m3u8
昭通一套,http://39.130.202.76:6610/gitv_live/G_ZHAOTONG-1/G_ZHAOTONG-1.m3u8
昭通二套,http://39.130.202.76:6610/gitv_live/G_ZHAOTONG-2/G_ZHAOTONG-2.m3u8
昭通三套,http://39.130.202.76:6610/gitv_live/G_ZHAOTONG-3/G_ZHAOTONG-3.m3u8
会泽综合,http://39.130.202.76:6610/gitv_live/G_HUIZE/G_HUIZE.m3u8
彝良综合,http://39.130.202.76:6610/gitv_live/G_YILIANG/G_YILIANG.m3u8
永善综合,http://39.130.202.76:6610/gitv_live/G_YONGSHAN/G_YONGSHAN.m3u8
鲁旬综合,http://livebroadcast.ccwb.cn/live/w1619693259142907.m3u8
镇雄综合,http://livebroadcast.ccwb.cn/live/w1606722098119972.m3u8
巧家综合,http://livebroadcast.ccwb.cn/live/w1593303918254963.m3u8
楚雄新闻,http://39.130.202.76:6610/gitv_live/G_CHUXIONGXW/G_CHUXIONGXW.m3u8
楚雄公共,http://39.130.202.76:6610/gitv_live/G_CHUXIONGGG/G_CHUXIONGGG.m3u8
楚雄市台,http://39.130.202.76:6610/gitv_live/G_CHUXIONGSHI/G_CHUXIONGSHI.m3u8
禄丰综合,http://39.130.202.76:6610/gitv_live/G_LUFENG/G_LUFENG.m3u8
牟定综合,http://39.130.202.76:6610/gitv_live/G_MOUDING/G_MOUDING.m3u8
南华综合,http://39.130.202.76:6610/gitv_live/G_NANHUA/G_NANHUA.m3u8
双柏综合,http://39.130.202.76:6610/gitv_live/G_SHUANGBAI/G_SHUANGBAI.m3u8
武定综合,http://39.130.202.76:6610/gitv_live/G_WUDING/G_WUDING.m3u8
姚安综合,http://39.130.202.76:6610/gitv_live/G_YAOAN/G_YAOAN.m3u8
元谋综合,http://39.130.202.76:6610/gitv_live/G_YUANMOU/G_YUANMOU.m3u8
永仁综合,http://39.130.202.76:6610/gitv_live/G_YONGREN/G_YONGREN.m3u8
大姚综合,http://39.130.202.76:6610/gitv_live/G_CHUXIONGDY/G_CHUXIONGDY.m3u8
普洱一套,http://39.130.202.76:6610/gitv_live/G_PUERTV-1/G_PUERTV-1.m3u8
普洱二套,http://39.130.202.76:6610/gitv_live/G_PUERTV-2/G_PUERTV-2.m3u8
普洱三套,http://39.130.202.76:6610/gitv_live/G_PUERTV-3/G_PUERTV-3.m3u8
思茅综合,http://39.130.202.76:6610/gitv_live/G_SIMAO/G_SIMAO.m3u8
墨江综合,http://39.130.202.76:6610/gitv_live/G_MOJIANG/G_MOJIANG.m3u8
景东综合,http://39.130.202.76:6610/gitv_live/G_JINGDONG/G_JINGDONG.m3u8
江城综合,http://39.130.202.76:6610/gitv_live/G_JIANGCHENG/G_JIANGCHENG.m3u8
孟连综合,http://39.130.202.76:6610/gitv_live/G_MENGLIAN/G_MENGLIAN.m3u8
澜沧综合,http://39.130.202.76:6610/gitv_live/G_LANCANG/G_LANCANG.m3u8
镇沅综合,http://39.130.202.76:6610/gitv_live/G_ZHENYUAN/G_ZHENYUAN.m3u8
版纳一套,http://39.130.202.76:6610/gitv_live/G_XSBNTV-1/G_XSBNTV-1.m3u8
版纳二套,http://39.130.202.76:6610/gitv_live/G_XSBNTV-2/G_XSBNTV-2.m3u8
勐海综合,http://39.130.202.76:6610/gitv_live/G_MENGHAI/G_MENGHAI.m3u8
勐腊综合,http://39.130.202.76:6610/gitv_live/G_MENGLA/G_MENGLA.m3u8
曲靖一套,http://39.130.202.76:6610/gitv_live/G_QUJING-1/G_QUJING-1.m3u8
曲靖二套,http://39.130.202.76:6610/gitv_live/G_QUJING-2/G_QUJING-2.m3u8
曲靖三套,http://39.130.202.76:6610/gitv_live/G_QUJING-3/G_QUJING-3.m3u8
罗平综合,http://39.130.202.76:6610/gitv_live/G_QJLUOPING/G_QJLUOPING.m3u8
马龙综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000218/216.m3u8
陆良综合,https://hwapi.yunshicloud.com/9327b6/v8i7rf.m3u8
迪庆综合,http://39.130.202.76:6610/gitv_live/G_DIQING-1/G_DIQING-1.m3u8
迪庆藏语,http://39.130.202.76:6610/gitv_live/G_DIQINGZY/G_DIQINGZY.m3u8
香格里拉,http://39.130.202.76:6610/gitv_live/G_DIQINGXGLL/G_DIQINGXGLL.m3u8
德钦综合,http://39.130.202.76:6610/gitv_live/G_DIQINGDQ/G_DIQINGDQ.m3u8
维西综合,http://39.130.202.76:6610/gitv_live/G_DIQINGWX/G_DIQINGWX.m3u8
临沧一套,http://39.130.202.76:6610/gitv_live/G_LINCANGTV-1/G_LINCANGTV-1.m3u8
临沧二套,http://39.130.202.76:6610/gitv_live/G_LINCANGTV-2/G_LINCANGTV-2.m3u8
临翔综合,http://39.130.202.76:6610/gitv_live/G_LCLINXIANG/G_LCLINXIANG.m3u8
凤庆综合,http://39.130.202.76:6610/gitv_live/G_LCFENGQING/G_LCFENGQING.m3u8
永德综合,http://39.130.202.76:6610/gitv_live/G_LCYONGDE/G_LCYONGDE.m3u8
镇康综合,http://39.130.202.76:6610/gitv_live/G_LCZHENKANG/G_LCZHENKANG.m3u8
双江综合,http://39.130.202.76:6610/gitv_live/G_LCSHUANGJIANG/G_LCSHUANGJIANG.m3u8
沧源综合,http://39.130.202.76:6610/gitv_live/G_LCCANGYUAN/G_LCCANGYUAN.m3u8
云县综合,http://39.130.202.76:6610/gitv_live/G_LCYUNXIAN/G_LCYUNXIAN.m3u8
耿马综合,http://39.130.202.76:6610/gitv_live/G_LCGENGMA/G_LCGENGMA.m3u8
怒江综合,http://39.130.202.76:6610/gitv_live/G_NUJIANGTV/G_NUJIANGTV.m3u8
泸水综合,http://39.130.202.76:6610/gitv_live/G_NUJIANGLS/G_NUJIANGLS.m3u8
福贡综合,http://39.130.202.76:6610/gitv_live/G_NUJIANGFG/G_NUJIANGFG.m3u8
贡山综合,http://39.130.202.76:6610/gitv_live/G_NUJIANGGS/G_NUJIANGGS.m3u8
兰坪综合,http://39.130.202.76:6610/gitv_live/G_NUJIANGLP/G_NUJIANGLP.m3u8
保山一套,http://39.130.202.76:6610/gitv_live/G_BAOSHANTV-1/G_BAOSHANTV-1.m3u8
保山二套,http://39.130.202.76:6610/gitv_live/G_BAOSHANTV-2/G_BAOSHANTV-2.m3u8
保山三套,http://39.130.202.76:6610/gitv_live/G_BAOSHANTV-3/G_BAOSHANTV-3.m3u8
昌宁综合,http://39.130.202.76:6610/gitv_live/G_CHANGNING/G_CHANGNING.m3u8
腾冲综合,http://39.130.202.76:6610/gitv_live/G_TENGCHONG/G_TENGCHONG.m3u8
龙陵综合,http://39.130.202.76:6610/gitv_live/G_LONGLING/G_LONGLING.m3u8
隆阳综合,http://39.130.202.76:6610/gitv_live/G_LONGYANG/G_LONGYANG.m3u8
施甸综合,http://39.130.202.76:6610/gitv_live/G_SHIDIAN/G_SHIDIAN.m3u8
大理一套,http://39.130.202.76:6610/gitv_live/G_DALITV-1/G_DALITV-1.m3u8
